Average Delivery Rating (a1),Average Orders per month (a2),"""Delighted Members"" Purchase",,,Y/N,,3rd question,Y/N,,,,,,,,
1.5,11,Yes,,,1,,Left,1,,Left,1,5,,Right,0,10
2.5,11,No,,,0,,Left,0,,Left,0,,,Right,1,
2.5,11,No,,,0,,Left,0,,Left,0,,,Right,1,
3.5,11,No,,,0,,Left,0,,Left,0,,,Right,1,
3.5,11,No,,,0,,Left,0,,Left,0,,,Right,1,
4.5,11,Yes,,,1,,Left,1,,Left,1,,,Right,1,
1.5,13,Yes,,,1,,Left,1,,Left,1,,,Right,0,
2.5,13,No,,,0,,Left,0,,Left,0,,,Right,1,
2.5,13,No,,,0,,Left,0,,Left,0,,,Right,1,
3.5,13,No,,,0,,Left,0,,Left,0,,,Right,1,
3.5,13,No,,,0,,Left,0,,Left,0,,,Right,1,
4.5,13,No,,,0,,Left,0,,Left,0,,,Right,1,
1.5,15,Yes,,,1,,Left,1,,Left,1,,,,,
2.5,15,No,,,0,,Left,0,,Left,0,,,,,
2.5,15,No,,,0,,Left,0,,Left,0,,,,,
3.5,15,No,,,0,,Left,0,,Left,0,,,,,
3.5,15,No,,,0,,Left,0,,Left,0,,,,,
4.5,15,Yes,,,1,,Left,1,,Left,1,,,,,
1.5,27,No,,,0,,Right,0,,,,,,,,
2.5,27,Yes,,,1,,Right,1,,,,0.401234568,,,,0.277777778
2.5,27,Yes,,,1,,Right,1,,,,,,,,
3.5,27,Yes,,,1,,Right,1,,,,,0.351851852,,,
4.5,27,Yes,,,1,,Right,1,,,,,,,,
4.5,27,Yes,,,1,,Right,1,,,,,,,,
1.5,39,No,,,0,,Right,0,,,,,,,,
2.5,39,Yes,,,1,,Right,1,,,,,,,,
2.5,39,Yes,,,1,,Right,1,,,,,,,,
3.5,39,Yes,,,1,,Right,1,,,,,,,,
4.5,39,Yes,,,1,,Right,1,,,,,,,,
4.5,39,Yes,,,1,,Right,1,,,,,,,,
